timeStamp,PID_TEST_1_pid.MV,PID_TEST_1_pid.SV,PID_TEST_1_pid.PV,PID_TEST_1_pid.KP,PID_TEST_1_pid.TD,PID_TEST_1_pid.TI,PID_TEST_1_tank.LEVEL,PID_TEST_1_valve.CURRENT_OPENING
时间戳,PID控制输出,PID预设值,PID输入值,比例系数,积分时间,微分时间,水箱液位,阀门开度
2024-6-3 19:00:00,18.300000,1.500000,0.000000,12.000000,0.150000,30.000000,0.011459,10.000000
2024-6-3 19:00:01,18.429192,1.500000,0.032264,12.000000,0.150000,30.000000,0.052876,18.429192
2024-6-3 19:00:02,18.511399,1.500000,0.073395,12.000000,0.150000,30.000000,0.093843,18.511399
2024-6-3 19:00:03,18.580184,1.500000,0.114233,12.000000,0.150000,30.000000,0.134571,18.580184
2024-6-3 19:00:04,18.635113,1.500000,0.154862,12.000000,0.150000,30.000000,0.175106,18.635113
2024-6-3 19:00:05,18.676026,1.500000,0.195306,12.000000,0.150000,30.000000,0.215461,18.676026
2024-6-3 19:00:06,18.702968,1.500000,0.235571,12.000000,0.150000,30.000000,0.255634,18.702968
2024-6-3 19:00:07,18.716100,1.500000,0.275650,12.000000,0.150000,30.000000,0.295616,18.716100
2024-6-3 19:00:08,18.715645,1.500000,0.315532,12.000000,0.150000,30.000000,0.335394,18.715645
2024-6-3 19:00:09,18.701875,1.500000,0.355202,12.000000,0.150000,30.000000,0.374952,18.701875
2024-6-3 19:00:10,18.675088,1.500000,0.394643,12.000000,0.150000,30.000000,0.414271,18.675088
2024-6-3 19:00:11,18.635607,1.500000,0.433836,12.000000,0.150000,30.000000,0.453333,18.635607
2024-6-3 19:00:12,18.583769,1.500000,0.472761,12.000000,0.150000,30.000000,0.492118,18.583769
2024-6-3 19:00:13,18.519923,1.500000,0.511400,12.000000,0.150000,30.000000,0.530606,18.519923
2024-6-3 19:00:14,18.444429,1.500000,0.549733,12.000000,0.150000,30.000000,0.568778,18.444429
2024-6-3 19:00:15,18.357650,1.500000,0.587738,12.000000,0.150000,30.000000,0.606613,18.357650
