timeStamp,PID.mv,PID.sv,PID.pv,PID.Kp,PID.Td,PID.Ti
时间戳,PID控制输出,PID预设值,PID输入值,比例系数,积分时间,微分时间
2024-6-3 19:00:00,100.000000,3.000000,0.000000,40.000000,0.150000,30.000000
2024-6-3 19:00:01,100.000000,3.000000,0.001651,40.000000,0.150000,30.000000
2024-6-3 19:00:02,100.000000,3.000000,0.005387,40.000000,0.150000,30.000000
2024-6-3 19:00:03,100.000000,3.000000,0.011229,40.000000,0.150000,30.000000
2024-6-3 19:00:04,100.000000,3.000000,0.019180,40.000000,0.150000,30.000000
2024-6-3 19:00:05,100.000000,3.000000,0.029239,40.000000,0.150000,30.000000
2024-6-3 19:00:06,100.000000,3.000000,0.039693,40.000000,0.150000,30.000000
2024-6-3 19:00:07,100.000000,3.000000,0.049993,40.000000,0.150000,30.000000
2024-6-3 19:00:08,100.000000,3.000000,0.060160,40.000000,0.150000,30.000000
2024-6-3 19:00:09,100.000000,3.000000,0.070207,40.000000,0.150000,30.000000
2024-6-3 19:00:10,100.000000,3.000000,0.080146,40.000000,0.150000,30.000000
2024-6-3 19:00:11,100.000000,3.000000,0.089984,40.000000,0.150000,30.000000
2024-6-3 19:00:12,100.000000,3.000000,0.099729,40.000000,0.150000,30.000000
2024-6-3 19:00:13,100.000000,3.000000,0.109386,40.000000,0.150000,30.000000
2024-6-3 19:00:14,100.000000,3.000000,0.118959,40.000000,0.150000,30.000000
2024-6-3 19:00:15,100.000000,3.000000,0.128454,40.000000,0.150000,30.000000
2024-6-3 19:00:16,100.000000,3.000000,0.137874,40.000000,0.150000,30.000000
2024-6-3 19:00:17,100.000000,3.000000,0.147221,40.000000,0.150000,30.000000
2024-6-3 19:00:18,100.000000,3.000000,0.156499,40.000000,0.150000,30.000000
2024-6-3 19:00:19,100.000000,3.000000,0.165711,40.000000,0.150000,30.000000
2024-6-3 19:00:20,100.000000,3.000000,0.174859,40.000000,0.150000,30.000000
2024-6-3 19:00:21,100.000000,3.000000,0.183944,40.000000,0.150000,30.000000
2024-6-3 19:00:22,100.000000,3.000000,0.192970,40.000000,0.150000,30.000000
2024-6-3 19:00:23,100.000000,3.000000,0.201937,40.000000,0.150000,30.000000
2024-6-3 19:00:24,100.000000,3.000000,0.210848,40.000000,0.150000,30.000000
2024-6-3 19:00:25,100.000000,3.000000,0.219704,40.000000,0.150000,30.000000
2024-6-3 19:00:26,100.000000,3.000000,0.228506,40.000000,0.150000,30.000000
2024-6-3 19:00:27,100.000000,3.000000,0.237257,40.000000,0.150000,30.000000
2024-6-3 19:00:28,100.000000,3.000000,0.245956,40.000000,0.150000,30.000000
2024-6-3 19:00:29,100.000000,3.000000,0.254606,40.000000,0.150000,30.000000
2024-6-3 19:00:30,100.000000,3.000000,0.263208,40.000000,0.150000,30.000000
2024-6-3 19:00:31,100.000000,3.000000,0.271762,40.000000,0.150000,30.000000
2024-6-3 19:00:32,100.000000,3.000000,0.280269,40.000000,0.150000,30.000000
2024-6-3 19:00:33,100.000000,3.000000,0.288732,40.000000,0.150000,30.000000
2024-6-3 19:00:34,100.000000,3.000000,0.297149,40.000000,0.150000,30.000000
2024-6-3 19:00:35,100.000000,3.000000,0.305523,40.000000,0.150000,30.000000
2024-6-3 19:00:36,100.000000,3.000000,0.313854,40.000000,0.150000,30.000000
